,imbalanceRatio,Subset,Indicator,Sorted_Features
43,shap_list_ir_1,shap_list_ir_1_subset_113,orderStd,"['X4', 'X1', 'X3', 'X5', 'X2', 'X6']"
44,shap_list_ir_1,shap_list_ir_1_subset_113,orderSum,"['X4', 'X1', 'X5', 'X2', 'X3', 'X6']"
45,shap_list_ir_1,shap_list_ir_1_subset_114,orderMean,"['X4', 'X5', 'X6', 'X1', 'X2', 'X3']"
46,shap_list_ir_1,shap_list_ir_1_subset_114,orderStd,"['X4', 'X5', 'X6', 'X2', 'X1', 'X3']"
47,shap_list_ir_1,shap_list_ir_1_subset_114,orderSum,"['X4', 'X5', 'X6', 'X1', 'X2', 'X3']"
48,shap_list_ir_1,shap_list_ir_1_subset_115,orderMean,"['X5', 'X1', 'X4', 'X2', 'X6', 'X3']"
49,shap_list_ir_1,shap_list_ir_1_subset_115,orderStd,"['X1', 'X5', 'X4', 'X2', 'X6', 'X3']"
50,shap_list_ir_1,shap_list_ir_1_subset_115,orderSum,"['X5', 'X1', 'X4', 'X2', 'X6', 'X3']"
51,shap_list_ir_1,shap_list_ir_1_subset_116,orderMean,"['X6', 'X4', 'X2', 'X5', 'X1', 'X3']"
52,shap_list_ir_1,shap_list_ir_1_subset_116,orderStd,"['X4', 'X6', 'X2', 'X3', 'X1', 'X5']"
53,shap_list_ir_1,shap_list_ir_1_subset_116,orderSum,"['X6', 'X4', 'X2', 'X5', 'X1', 'X3']"
54,shap_list_ir_1,shap_list_ir_1_subset_117,orderMean,"['X4', 'X1', 'X6', 'X5', 'X3', 'X2']"
55,shap_list_ir_1,shap_list_ir_1_subset_117,orderStd,"['X3', 'X4', 'X2', 'X6', 'X1', 'X5']"
56,shap_list_ir_1,shap_list_ir_1_subset_117,orderSum,"['X4', 'X1', 'X6', 'X5', 'X3', 'X2']"
57,shap_list_ir_1,shap_list_ir_1_subset_118,orderMean,"['X4', 'X5', 'X3', 'X6', 'X1', 'X2']"
58,shap_list_ir_1,shap_list_ir_1_subset_118,orderStd,"['X3', 'X4', 'X2', 'X5', 'X6', 'X1']"
59,shap_list_ir_1,shap_list_ir_1_subset_118,orderSum,"['X4', 'X5', 'X3', 'X6', 'X1', 'X2']"
60,shap_list_ir_1,shap_list_ir_1_subset_119,orderMean,"['X4', 'X6', 'X3', 'X1', 'X2', 'X5']"
61,shap_list_ir_1,shap_list_ir_1_subset_119,orderStd,"['X3', 'X4', 'X6', 'X1', 'X2', 'X5']"
62,shap_list_ir_1,shap_list_ir_1_subset_119,orderSum,"['X4', 'X6', 'X3', 'X1', 'X2', 'X5']"
63,shap_list_ir_1,shap_list_ir_1_subset_11,orderMean,"['X4', 'X5', 'X6', 'X1', 'X3', 'X2']"
64,shap_list_ir_1,shap_list_ir_1_subset_11,orderStd,"['X4', 'X5', 'X6', 'X2', 'X3', 'X1']"
65,shap_list_ir_1,shap_list_ir_1_subset_11,orderSum,"['X4', 'X5', 'X6', 'X1', 'X3', 'X2']"
66,shap_list_ir_1,shap_list_ir_1_subset_120,orderMean,"['X4', 'X6', 'X5', 'X1', 'X2', 'X3']"
67,shap_list_ir_1,shap_list_ir_1_subset_120,orderStd,"['X4', 'X6', 'X3', 'X2', 'X1', 'X5']"
68,shap_list_ir_1,shap_list_ir_1_subset_120,orderSum,"['X4', 'X6', 'X5', 'X1', 'X2', 'X3']"
69,shap_list_ir_1,shap_list_ir_1_subset_121,orderMean,"['X4', 'X5', 'X1', 'X6', 'X2', 'X3']"
70,shap_list_ir_1,shap_list_ir_1_subset_121,orderStd,"['X4', 'X1', 'X3', 'X5', 'X2', 'X6']"
71,shap_list_ir_1,shap_list_ir_1_subset_121,orderSum,"['X4', 'X5', 'X1', 'X6', 'X2', 'X3']"
72,shap_list_ir_1,shap_list_ir_1_subset_122,orderMean,"['X4', 'X5', 'X6', 'X1', 'X2', 'X3']"
73,shap_list_ir_1,shap_list_ir_1_subset_122,orderStd,"['X4', 'X2', 'X6', 'X5', 'X1', 'X3']"
74,shap_list_ir_1,shap_list_ir_1_subset_122,orderSum,"['X4', 'X5', 'X6', 'X1', 'X2', 'X3']"
75,shap_list_ir_1,shap_list_ir_1_subset_123,orderMean,"['X4', 'X6', 'X5', 'X2', 'X1', 'X3']"
76,shap_list_ir_1,shap_list_ir_1_subset_123,orderStd,"['X4', 'X6', 'X5', 'X3', 'X2', 'X1']"
77,shap_list_ir_1,shap_list_ir_1_subset_123,orderSum,"['X4', 'X6', 'X5', 'X2', 'X1', 'X3']"
78,shap_list_ir_1,shap_list_ir_1_subset_124,orderMean,"['X6', 'X4', 'X3', 'X5', 'X2', 'X1']"
79,shap_list_ir_1,shap_list_ir_1_subset_124,orderStd,"['X6', 'X4', 'X3', 'X2', 'X5', 'X1']"
80,shap_list_ir_1,shap_list_ir_1_subset_124,orderSum,"['X6', 'X4', 'X3', 'X5', 'X2', 'X1']"
81,shap_list_ir_1,shap_list_ir_1_subset_125,orderMean,"['X1', 'X6', 'X2', 'X4', 'X3', 'X5']"
82,shap_list_ir_1,shap_list_ir_1_subset_125,orderStd,"['X1', 'X3', 'X2', 'X6', 'X4', 'X5']"
83,shap_list_ir_1,shap_list_ir_1_subset_125,orderSum,"['X1', 'X6', 'X2', 'X4', 'X3', 'X5']"
84,shap_list_ir_1,shap_list_ir_1_subset_126,orderMean,"['X4', 'X6', 'X1', 'X5', 'X3', 'X2']"
85,shap_list_ir_1,shap_list_ir_1_subset_126,orderStd,"['X4', 'X3', 'X1', 'X6', 'X2', 'X5']"
86,shap_list_ir_1,shap_list_ir_1_subset_126,orderSum,"['X4', 'X6', 'X1', 'X5', 'X3', 'X2']"
87,shap_list_ir_1,shap_list_ir_1_subset_127,orderMean,"['X5', 'X4', 'X6', 'X2', 'X1', 'X3']"
88,shap_list_ir_1,shap_list_ir_1_subset_127,orderStd,"['X5', 'X4', 'X2', 'X6', 'X1', 'X3']"
89,shap_list_ir_1,shap_list_ir_1_subset_127,orderSum,"['X5', 'X4', 'X6', 'X2', 'X1', 'X3']"
90,shap_list_ir_1,shap_list_ir_1_subset_128,orderMean,"['X4', 'X6', 'X5', 'X1', 'X2', 'X3']"
91,shap_list_ir_1,shap_list_ir_1_subset_128,orderStd,"['X4', 'X6', 'X2', 'X3', 'X5', 'X1']"
92,shap_list_ir_1,shap_list_ir_1_subset_128,orderSum,"['X4', 'X6', 'X5', 'X1', 'X2', 'X3']"
93,shap_list_ir_1,shap_list_ir_1_subset_129,orderMean,"['X4', 'X6', 'X1', 'X3', 'X2', 'X5']"
94,shap_list_ir_1,shap_list_ir_1_subset_129,orderStd,"['X3', 'X4', 'X1', 'X6', 'X2', 'X5']"
95,shap_list_ir_1,shap_list_ir_1_subset_129,orderSum,"['X4', 'X6', 'X1', 'X3', 'X2', 'X5']"
96,shap_list_ir_1,shap_list_ir_1_subset_12,orderMean,"['X4', 'X5', 'X6', 'X3', 'X2', 'X1']"
97,shap_list_ir_1,shap_list_ir_1_subset_12,orderStd,"['X4', 'X3', 'X5', 'X6', 'X2', 'X1']"
98,shap_list_ir_1,shap_list_ir_1_subset_12,orderSum,"['X4', 'X5', 'X6', 'X3', 'X2', 'X1']"
99,shap_list_ir_1,shap_list_ir_1_subset_130,orderMean,"['X4', 'X5', 'X1', 'X6', 'X3', 'X2']"
100,shap_list_ir_1,shap_list_ir_1_subset_130,orderStd,"['X4', 'X3', 'X1', 'X5', 'X6', 'X2']"
101,shap_list_ir_1,shap_list_ir_1_subset_130,orderSum,"['X4', 'X5', 'X1', 'X6', 'X3', 'X2']"
102,shap_list_ir_1,shap_list_ir_1_subset_131,orderMean,"['X4', 'X5', 'X6', 'X1', 'X2', 'X3']"
103,shap_list_ir_1,shap_list_ir_1_subset_131,orderStd,"['X4', 'X1', 'X2', 'X5', 'X6', 'X3']"
104,shap_list_ir_1,shap_list_ir_1_subset_131,orderSum,"['X4', 'X5', 'X6', 'X1', 'X2', 'X3']"
105,shap_list_ir_1,shap_list_ir_1_subset_132,orderMean,"['X4', 'X6', 'X1', 'X5', 'X2', 'X3']"
106,shap_list_ir_1,shap_list_ir_1_subset_132,orderStd,"['X4', 'X6', 'X2', 'X1', 'X3', 'X5']"
107,shap_list_ir_1,shap_list_ir_1_subset_132,orderSum,"['X4', 'X6', 'X1', 'X5', 'X2', 'X3']"
108,shap_list_ir_1,shap_list_ir_1_subset_133,orderMean,"['X5', 'X4', 'X6', 'X2', 'X3', 'X1']"
109,shap_list_ir_1,shap_list_ir_1_subset_133,orderStd,"['X2', 'X5', 'X4', 'X6', 'X3', 'X1']"
110,shap_list_ir_1,shap_list_ir_1_subset_133,orderSum,"['X5', 'X4', 'X6', 'X2', 'X3', 'X1']"
111,shap_list_ir_1,shap_list_ir_1_subset_134,orderMean,"['X4', 'X6', 'X5', 'X1', 'X3', 'X2']"
112,shap_list_ir_1,shap_list_ir_1_subset_134,orderStd,"['X4', 'X3', 'X2', 'X6', 'X1', 'X5']"
