,imbalanceRatio,Subset,Indicator,Sorted_Features
38,mlp_shap_list_ir_5,mlp_shap_list_ir_5_subset_123,orderSum,"['X1', 'X4', 'X5', 'X6', 'X2', 'X3']"
39,mlp_shap_list_ir_1,mlp_shap_list_ir_1_subset_49,orderMean,"['X6', 'X1', 'X5', 'X4', 'X2', 'X3']"
40,mlp_shap_list_ir_1,mlp_shap_list_ir_1_subset_49,orderStd,"['X6', 'X5', 'X1', 'X4', 'X3', 'X2']"
41,mlp_shap_list_ir_1,mlp_shap_list_ir_1_subset_49,orderSum,"['X6', 'X1', 'X5', 'X4', 'X2', 'X3']"
42,mlp_shap_list_ir_4,mlp_shap_list_ir_4_subset_146,orderMean,"['X4', 'X1', 'X5', 'X6', 'X2', 'X3']"
43,mlp_shap_list_ir_4,mlp_shap_list_ir_4_subset_146,orderStd,"['X4', 'X6', 'X1', 'X5', 'X2', 'X3']"
44,mlp_shap_list_ir_4,mlp_shap_list_ir_4_subset_146,orderSum,"['X4', 'X1', 'X5', 'X6', 'X2', 'X3']"
45,mlp_shap_list_ir_2,mlp_shap_list_ir_2_subset_9,orderMean,"['X4', 'X6', 'X3', 'X2', 'X5', 'X1']"
46,mlp_shap_list_ir_2,mlp_shap_list_ir_2_subset_9,orderStd,"['X4', 'X2', 'X6', 'X3', 'X1', 'X5']"
47,mlp_shap_list_ir_2,mlp_shap_list_ir_2_subset_9,orderSum,"['X4', 'X6', 'X3', 'X2', 'X5', 'X1']"
48,mlp_shap_list_ir_2,mlp_shap_list_ir_2_subset_55,orderMean,"['X5', 'X4', 'X1', 'X6', 'X2', 'X3']"
49,mlp_shap_list_ir_2,mlp_shap_list_ir_2_subset_55,orderStd,"['X5', 'X1', 'X4', 'X6', 'X2', 'X3']"
50,mlp_shap_list_ir_2,mlp_shap_list_ir_2_subset_55,orderSum,"['X5', 'X4', 'X1', 'X6', 'X2', 'X3']"
51,mlp_shap_list_ir_4,mlp_shap_list_ir_4_subset_99,orderMean,"['X6', 'X5', 'X1', 'X4', 'X3', 'X2']"
52,mlp_shap_list_ir_4,mlp_shap_list_ir_4_subset_99,orderStd,"['X5', 'X6', 'X1', 'X4', 'X3', 'X2']"
53,mlp_shap_list_ir_4,mlp_shap_list_ir_4_subset_99,orderSum,"['X6', 'X5', 'X1', 'X4', 'X3', 'X2']"
54,mlp_shap_list_ir_2,mlp_shap_list_ir_2_subset_148,orderMean,"['X6', 'X1', 'X5', 'X2', 'X4', 'X3']"
55,mlp_shap_list_ir_2,mlp_shap_list_ir_2_subset_148,orderStd,"['X6', 'X5', 'X1', 'X4', 'X2', 'X3']"
56,mlp_shap_list_ir_2,mlp_shap_list_ir_2_subset_148,orderSum,"['X6', 'X1', 'X5', 'X2', 'X4', 'X3']"
57,mlp_shap_list_ir_4,mlp_shap_list_ir_4_subset_23,orderMean,"['X6', 'X4', 'X1', 'X5', 'X2', 'X3']"
58,mlp_shap_list_ir_4,mlp_shap_list_ir_4_subset_23,orderStd,"['X1', 'X2', 'X6', 'X4', 'X3', 'X5']"
59,mlp_shap_list_ir_4,mlp_shap_list_ir_4_subset_23,orderSum,"['X6', 'X4', 'X1', 'X5', 'X2', 'X3']"
60,mlp_shap_list_ir_4,mlp_shap_list_ir_4_subset_141,orderMean,"['X4', 'X1', 'X5', 'X6', 'X2', 'X3']"
61,mlp_shap_list_ir_4,mlp_shap_list_ir_4_subset_141,orderStd,"['X2', 'X1', 'X4', 'X5', 'X6', 'X3']"
62,mlp_shap_list_ir_4,mlp_shap_list_ir_4_subset_141,orderSum,"['X4', 'X1', 'X5', 'X6', 'X2', 'X3']"
63,mlp_shap_list_ir_3,mlp_shap_list_ir_3_subset_47,orderMean,"['X4', 'X1', 'X5', 'X6', 'X2', 'X3']"
64,mlp_shap_list_ir_3,mlp_shap_list_ir_3_subset_47,orderStd,"['X4', 'X1', 'X5', 'X6', 'X2', 'X3']"
65,mlp_shap_list_ir_3,mlp_shap_list_ir_3_subset_47,orderSum,"['X4', 'X1', 'X5', 'X6', 'X2', 'X3']"
66,mlp_shap_list_ir_2,mlp_shap_list_ir_2_subset_132,orderMean,"['X1', 'X4', 'X2', 'X5', 'X6', 'X3']"
67,mlp_shap_list_ir_2,mlp_shap_list_ir_2_subset_132,orderStd,"['X1', 'X4', 'X6', 'X5', 'X2', 'X3']"
68,mlp_shap_list_ir_2,mlp_shap_list_ir_2_subset_132,orderSum,"['X1', 'X4', 'X2', 'X5', 'X6', 'X3']"
69,mlp_shap_list_ir_5,mlp_shap_list_ir_5_subset_19,orderMean,"['X6', 'X5', 'X1', 'X4', 'X2', 'X3']"
70,mlp_shap_list_ir_5,mlp_shap_list_ir_5_subset_19,orderStd,"['X5', 'X4', 'X6', 'X1', 'X2', 'X3']"
71,mlp_shap_list_ir_5,mlp_shap_list_ir_5_subset_19,orderSum,"['X6', 'X5', 'X1', 'X4', 'X2', 'X3']"
72,mlp_shap_list_ir_5,mlp_shap_list_ir_5_subset_59,orderMean,"['X1', 'X4', 'X6', 'X5', 'X2', 'X3']"
73,mlp_shap_list_ir_5,mlp_shap_list_ir_5_subset_59,orderStd,"['X4', 'X2', 'X1', 'X6', 'X5', 'X3']"
74,mlp_shap_list_ir_5,mlp_shap_list_ir_5_subset_59,orderSum,"['X1', 'X4', 'X6', 'X5', 'X2', 'X3']"
75,mlp_shap_list_ir_5,mlp_shap_list_ir_5_subset_6,orderMean,"['X6', 'X1', 'X4', 'X5', 'X2', 'X3']"
76,mlp_shap_list_ir_5,mlp_shap_list_ir_5_subset_6,orderStd,"['X2', 'X1', 'X6', 'X4', 'X5', 'X3']"
77,mlp_shap_list_ir_5,mlp_shap_list_ir_5_subset_6,orderSum,"['X6', 'X1', 'X4', 'X5', 'X2', 'X3']"
