,imbalanceRatio,Subset,Indicator,Sorted_Features
38,xgb_shap_list_ir_3,xgb_shap_list_ir_3_subset_102,orderSum,"['X4', 'X5', 'X6', 'X3', 'X1', 'X2']"
39,xgb_shap_list_ir_5,xgb_shap_list_ir_5_subset_117,orderMean,"['X4', 'X5', 'X6', 'X2', 'X1', 'X3']"
40,xgb_shap_list_ir_5,xgb_shap_list_ir_5_subset_117,orderStd,"['X5', 'X2', 'X4', 'X6', 'X1', 'X3']"
41,xgb_shap_list_ir_5,xgb_shap_list_ir_5_subset_117,orderSum,"['X4', 'X5', 'X6', 'X2', 'X1', 'X3']"
42,xgb_shap_list_ir_3,xgb_shap_list_ir_3_subset_124,orderMean,"['X4', 'X6', 'X1', 'X5', 'X2', 'X3']"
43,xgb_shap_list_ir_3,xgb_shap_list_ir_3_subset_124,orderStd,"['X4', 'X2', 'X5', 'X6', 'X1', 'X3']"
44,xgb_shap_list_ir_3,xgb_shap_list_ir_3_subset_124,orderSum,"['X4', 'X6', 'X1', 'X5', 'X2', 'X3']"
45,xgb_shap_list_ir_3,xgb_shap_list_ir_3_subset_98,orderMean,"['X4', 'X5', 'X2', 'X6', 'X1', 'X3']"
46,xgb_shap_list_ir_3,xgb_shap_list_ir_3_subset_98,orderStd,"['X5', 'X2', 'X4', 'X1', 'X6', 'X3']"
47,xgb_shap_list_ir_3,xgb_shap_list_ir_3_subset_98,orderSum,"['X4', 'X5', 'X2', 'X6', 'X1', 'X3']"
48,xgb_shap_list_ir_1,xgb_shap_list_ir_1_subset_100,orderMean,"['X4', 'X1', 'X6', 'X5', 'X2', 'X3']"
49,xgb_shap_list_ir_1,xgb_shap_list_ir_1_subset_100,orderStd,"['X2', 'X3', 'X4', 'X1', 'X6', 'X5']"
50,xgb_shap_list_ir_1,xgb_shap_list_ir_1_subset_100,orderSum,"['X4', 'X1', 'X6', 'X5', 'X2', 'X3']"
51,xgb_shap_list_ir_2,xgb_shap_list_ir_2_subset_22,orderMean,"['X4', 'X1', 'X5', 'X3', 'X6', 'X2']"
52,xgb_shap_list_ir_2,xgb_shap_list_ir_2_subset_22,orderStd,"['X1', 'X2', 'X4', 'X5', 'X3', 'X6']"
53,xgb_shap_list_ir_2,xgb_shap_list_ir_2_subset_22,orderSum,"['X4', 'X1', 'X5', 'X3', 'X6', 'X2']"
54,xgb_shap_list_ir_2,xgb_shap_list_ir_2_subset_17,orderMean,"['X5', 'X6', 'X4', 'X3', 'X1', 'X2']"
