,imbalanceRatio,Subset,Indicator,Sorted_Features
39,lr_shap_list_ir_1,lr_shap_list_ir_1_subset_12,orderMean,"['X3', 'X4', 'X6', 'X5', 'X1', 'X2']"
40,lr_shap_list_ir_1,lr_shap_list_ir_1_subset_12,orderStd,"['X3', 'X5', 'X4', 'X1', 'X6', 'X2']"
41,lr_shap_list_ir_1,lr_shap_list_ir_1_subset_12,orderSum,"['X3', 'X4', 'X6', 'X5', 'X1', 'X2']"
42,lr_shap_list_ir_1,lr_shap_list_ir_1_subset_137,orderMean,"['X1', 'X3', 'X2', 'X6', 'X4', 'X5']"
43,lr_shap_list_ir_1,lr_shap_list_ir_1_subset_137,orderStd,"['X3', 'X1', 'X2', 'X5', 'X4', 'X6']"
44,lr_shap_list_ir_1,lr_shap_list_ir_1_subset_137,orderSum,"['X1', 'X3', 'X2', 'X6', 'X4', 'X5']"
45,lr_shap_list_ir_2,lr_shap_list_ir_2_subset_126,orderMean,"['X4', 'X5', 'X2', 'X1', 'X3', 'X6']"
46,lr_shap_list_ir_2,lr_shap_list_ir_2_subset_126,orderStd,"['X5', 'X1', 'X2', 'X3', 'X4', 'X6']"
47,lr_shap_list_ir_2,lr_shap_list_ir_2_subset_126,orderSum,"['X4', 'X5', 'X2', 'X1', 'X3', 'X6']"
48,lr_shap_list_ir_3,lr_shap_list_ir_3_subset_36,orderMean,"['X4', 'X2', 'X3', 'X5', 'X1', 'X6']"
49,lr_shap_list_ir_3,lr_shap_list_ir_3_subset_36,orderStd,"['X4', 'X2', 'X5', 'X3', 'X1', 'X6']"
50,lr_shap_list_ir_3,lr_shap_list_ir_3_subset_36,orderSum,"['X4', 'X2', 'X3', 'X5', 'X1', 'X6']"
51,lr_shap_list_ir_1,lr_shap_list_ir_1_subset_18,orderMean,"['X2', 'X3', 'X4', 'X6', 'X1', 'X5']"
52,lr_shap_list_ir_1,lr_shap_list_ir_1_subset_18,orderStd,"['X3', 'X2', 'X4', 'X1', 'X5', 'X6']"
53,lr_shap_list_ir_1,lr_shap_list_ir_1_subset_18,orderSum,"['X2', 'X3', 'X4', 'X6', 'X1', 'X5']"
54,lr_shap_list_ir_1,lr_shap_list_ir_1_subset_115,orderMean,"['X6', 'X4', 'X1', 'X5', 'X2', 'X3']"
55,lr_shap_list_ir_1,lr_shap_list_ir_1_subset_115,orderStd,"['X5', 'X1', 'X2', 'X4', 'X6', 'X3']"
56,lr_shap_list_ir_1,lr_shap_list_ir_1_subset_115,orderSum,"['X6', 'X4', 'X1', 'X5', 'X2', 'X3']"
57,lr_shap_list_ir_2,lr_shap_list_ir_2_subset_39,orderMean,"['X4', 'X1', 'X5', 'X3', 'X2', 'X6']"
58,lr_shap_list_ir_2,lr_shap_list_ir_2_subset_39,orderStd,"['X1', 'X5', 'X2', 'X3', 'X4', 'X6']"
59,lr_shap_list_ir_2,lr_shap_list_ir_2_subset_39,orderSum,"['X4', 'X1', 'X5', 'X3', 'X2', 'X6']"
60,lr_shap_list_ir_4,lr_shap_list_ir_4_subset_143,orderMean,"['X4', 'X5', 'X1', 'X3', 'X2', 'X6']"
61,lr_shap_list_ir_4,lr_shap_list_ir_4_subset_143,orderStd,"['X5', 'X1', 'X3', 'X4', 'X2', 'X6']"
62,lr_shap_list_ir_4,lr_shap_list_ir_4_subset_143,orderSum,"['X4', 'X5', 'X1', 'X3', 'X2', 'X6']"
63,lr_shap_list_ir_1,lr_shap_list_ir_1_subset_73,orderMean,"['X2', 'X3', 'X5', 'X1', 'X6', 'X4']"
