,1,2,3,4,5
Pregnancies,1,1,3,2,1
Glucose,3,2,1,1,1
BloodPressure,1,2,3,4,5
SkinThickness,1,2,3,3,3
Insulin,1,2,2,2,2
BMI,2,1,1,1,1
DiabetesPedigreeFunction,1,1,1,1,1
Age,1,1,1,1,1
