,1,2,3,4,5
Pregnancies,1,2,3,3,3
Glucose,3,2,1,1,1
BloodPressure,1,2,3,4,5
SkinThickness,1,2,3,4,5
Insulin,1,2,3,4,4
BMI,3,2,1,1,1
DiabetesPedigreeFunction,1,1,2,2,3
Age,2,2,1,1,1
