,1,2,3,4,5
Pregnancies,3,2,2,1,1
Glucose,4,3,2,1,1
BloodPressure,1,2,3,3,3
SkinThickness,1,1,1,1,1
Insulin,3,2,1,1,1
BMI,4,3,2,1,1
DiabetesPedigreeFunction,3,2,1,1,1
Age,4,3,2,1,1
