,1,2,3,4,5
Pregnancies,2,1,1,1,1
Glucose,2,2,1,1,1
BloodPressure,2,1,1,1,1
SkinThickness,2,1,2,1,1
Insulin,2,2,2,2,1
BMI,2,1,1,1,1
DiabetesPedigreeFunction,3,2,1,1,1
Age,2,1,1,1,1
