,1,2,3,4,5
Pregnancies,2,2,2,1,1
Glucose,4,3,2,1,1
BloodPressure,1,1,2,2,1
SkinThickness,1,2,2,2,2
Insulin,1,1,1,1,1
BMI,4,3,2,1,1
DiabetesPedigreeFunction,4,3,2,1,1
Age,4,3,2,2,1
