,index,shapMean,shapStd,shapSum,subset,imbalance_ratio
47,Age,0.4529587,0.29361215,231.00894,xgb_shap_list_ir_3_subset_19,xgb_shap_list_ir_3
48,Pregnancies,0.3148437,0.21210039,160.5703,xgb_shap_list_ir_1_subset_133,xgb_shap_list_ir_1
49,Glucose,1.1565708,0.48861465,589.8511,xgb_shap_list_ir_1_subset_133,xgb_shap_list_ir_1
50,BloodPressure,0.033044193,0.023786511,16.85254,xgb_shap_list_ir_1_subset_133,xgb_shap_list_ir_1
51,SkinThickness,0.36301193,0.17960054,185.13608,xgb_shap_list_ir_1_subset_133,xgb_shap_list_ir_1
52,Insulin,0.8321069,0.25658858,424.3745,xgb_shap_list_ir_1_subset_133,xgb_shap_list_ir_1
53,BMI,0.56367606,0.34426996,287.4748,xgb_shap_list_ir_1_subset_133,xgb_shap_list_ir_1
54,DiabetesPedigreeFunction,0.5805508,0.20301954,296.0809,xgb_shap_list_ir_1_subset_133,xgb_shap_list_ir_1
55,Age,0.78235483,0.3693803,399.00098,xgb_shap_list_ir_1_subset_133,xgb_shap_list_ir_1
56,Pregnancies,0.23579814,0.13436177,120.25705,xgb_shap_list_ir_1_subset_15,xgb_shap_list_ir_1
57,Glucose,1.1514592,0.4474437,587.2442,xgb_shap_list_ir_1_subset_15,xgb_shap_list_ir_1
58,BloodPressure,0.30453253,0.26416612,155.31158,xgb_shap_list_ir_1_subset_15,xgb_shap_list_ir_1
59,SkinThickness,0.6020321,0.26816243,307.03638,xgb_shap_list_ir_1_subset_15,xgb_shap_list_ir_1
60,Insulin,0.27253622,0.17449261,138.99347,xgb_shap_list_ir_1_subset_15,xgb_shap_list_ir_1
61,BMI,0.69086033,0.4246138,352.33878,xgb_shap_list_ir_1_subset_15,xgb_shap_list_ir_1
62,DiabetesPedigreeFunction,0.26666948,0.23002166,136.00143,xgb_shap_list_ir_1_subset_15,xgb_shap_list_ir_1
63,Age,0.5253973,0.39315704,267.95264,xgb_shap_list_ir_1_subset_15,xgb_shap_list_ir_1
64,Pregnancies,0.28183892,0.18761232,143.73785,xgb_shap_list_ir_3_subset_67,xgb_shap_list_ir_3
65,Glucose,1.2163534,0.8094792,620.3403,xgb_shap_list_ir_3_subset_67,xgb_shap_list_ir_3
66,BloodPressure,0.43588144,0.3089496,222.29953,xgb_shap_list_ir_3_subset_67,xgb_shap_list_ir_3
67,SkinThickness,0.49223816,0.29117024,251.04146,xgb_shap_list_ir_3_subset_67,xgb_shap_list_ir_3
68,Insulin,0.3408114,0.2394318,173.81381,xgb_shap_list_ir_3_subset_67,xgb_shap_list_ir_3
69,BMI,0.90528303,0.80122507,461.69434,xgb_shap_list_ir_3_subset_67,xgb_shap_list_ir_3
70,DiabetesPedigreeFunction,0.6638407,0.59349,338.55878,xgb_shap_list_ir_3_subset_67,xgb_shap_list_ir_3
71,Age,0.86871696,0.7333583,443.04565,xgb_shap_list_ir_3_subset_67,xgb_shap_list_ir_3
72,Pregnancies,0.38940454,0.3455488,198.59631,xgb_shap_list_ir_5_subset_150,xgb_shap_list_ir_5
73,Glucose,1.5906333,1.1445123,811.22296,xgb_shap_list_ir_5_subset_150,xgb_shap_list_ir_5
74,BloodPressure,0.3768487,0.2783731,192.19284,xgb_shap_list_ir_5_subset_150,xgb_shap_list_ir_5
75,SkinThickness,0.3644496,0.25781024,185.8693,xgb_shap_list_ir_5_subset_150,xgb_shap_list_ir_5
76,Insulin,0.25816354,0.20160374,131.6634,xgb_shap_list_ir_5_subset_150,xgb_shap_list_ir_5
