,1,2,3,4,5
Pregnancies,1,2,3,4,4
Glucose,4,3,2,1,1
BloodPressure,1,2,3,3,3
SkinThickness,1,2,3,4,5
Insulin,1,2,3,4,4
BMI,2,1,1,1,1
DiabetesPedigreeFunction,1,1,1,1,1
Age,2,3,1,1,1
