,1,2,3,4,5
Pregnancies,3,1,2,1,1
Glucose,4,3,2,2,1
BloodPressure,4,3,2,1,1
SkinThickness,3,2,2,2,1
Insulin,3,3,2,2,1
BMI,4,3,2,2,1
DiabetesPedigreeFunction,4,3,2,1,1
Age,4,2,3,2,1
