,index,shapMean,shapStd,shapSum,subset,imbalance_ratio
0,Aattr,0.01405310738878478,0.009546291231669,35.13276847196195,rf_shap_list_ir_1_subset_35,rf_shap_list_ir_1
1,Battr,0.013664549172728295,0.012175816986669481,34.161372931820736,rf_shap_list_ir_1_subset_35,rf_shap_list_ir_1
2,Cattr,0.012773402125173234,0.008674142255029407,31.933505312933086,rf_shap_list_ir_1_subset_35,rf_shap_list_ir_1
3,Dattr,0.01435880375998526,0.012891462931893147,35.89700939996315,rf_shap_list_ir_1_subset_35,rf_shap_list_ir_1
4,Eattr,0.010531786715039567,0.008754063390189182,26.329466787598918,rf_shap_list_ir_1_subset_35,rf_shap_list_ir_1
5,Fattr,0.013592234016793691,0.009324652083644752,33.98058504198423,rf_shap_list_ir_1_subset_35,rf_shap_list_ir_1
6,A1attr,0.012813869427612045,0.009076351353970917,32.03467356903011,rf_shap_list_ir_1_subset_35,rf_shap_list_ir_1
7,B2attr,0.01915795311128884,0.017770044118355477,47.894882778222104,rf_shap_list_ir_1_subset_35,rf_shap_list_ir_1
8,C3attr,0.011030648323089415,0.007308498083939103,27.576620807723536,rf_shap_list_ir_1_subset_35,rf_shap_list_ir_1
9,D4attr,0.01550264162710578,0.011750028329237544,38.75660406776445,rf_shap_list_ir_1_subset_35,rf_shap_list_ir_1
10,E5attr,0.013062391099770657,0.008813988414383833,32.65597774942664,rf_shap_list_ir_1_subset_35,rf_shap_list_ir_1
11,F6attr,0.018043440608339765,0.01321783311270704,45.10860152084941,rf_shap_list_ir_1_subset_35,rf_shap_list_ir_1
12,A7attr,0.018349643644183105,0.014264211502476353,45.874109110457766,rf_shap_list_ir_1_subset_35,rf_shap_list_ir_1
13,B8attr,0.010044999667990261,0.008131279155240511,25.112499169975653,rf_shap_list_ir_1_subset_35,rf_shap_list_ir_1
14,C9attr,0.02123857788690458,0.022098376019497885,53.09644471726145,rf_shap_list_ir_1_subset_35,rf_shap_list_ir_1
15,D10attr,0.008582815172624854,0.005526837516089542,21.457037931562134,rf_shap_list_ir_1_subset_35,rf_shap_list_ir_1
16,E11attr,0.010716568443486753,0.007949714264680705,26.791421108716886,rf_shap_list_ir_1_subset_35,rf_shap_list_ir_1
17,F12attr,0.017270779004976002,0.019206226589873716,43.17694751244001,rf_shap_list_ir_1_subset_35,rf_shap_list_ir_1
18,A13attr,0.010727656680596264,0.013468487023611263,26.819141701490658,rf_shap_list_ir_1_subset_35,rf_shap_list_ir_1
19,B14attr,0.009962905558176404,0.007370400154429746,24.90726389544101,rf_shap_list_ir_1_subset_35,rf_shap_list_ir_1
20,C15attr,0.02651949007863641,0.021608512069031447,66.29872519659102,rf_shap_list_ir_1_subset_35,rf_shap_list_ir_1
21,D16attr,0.024566353948317892,0.019915513819068045,61.41588487079473,rf_shap_list_ir_1_subset_35,rf_shap_list_ir_1
22,E17attr,0.03026816190697175,0.022747107223993136,75.67040476742937,rf_shap_list_ir_1_subset_35,rf_shap_list_ir_1
23,F18attr,0.010305562710355596,0.00700963443310274,25.76390677588899,rf_shap_list_ir_1_subset_35,rf_shap_list_ir_1
24,A19attr,0.00990307364478989,0.0073777281589269,24.757684111974726,rf_shap_list_ir_1_subset_35,rf_shap_list_ir_1
25,B20attr,0.014952760102935113,0.016581460646520673,37.38190025733778,rf_shap_list_ir_1_subset_35,rf_shap_list_ir_1
26,C21attr,0.01597134835755833,0.012642286438584567,39.928370893895824,rf_shap_list_ir_1_subset_35,rf_shap_list_ir_1
27,D22attr,0.012576976447608698,0.0112018146878265,31.442441119021748,rf_shap_list_ir_1_subset_35,rf_shap_list_ir_1
28,E23attr,0.009731106108423567,0.008680931615437626,24.327765271058915,rf_shap_list_ir_1_subset_35,rf_shap_list_ir_1
29,F24attr,0.008096627196753654,0.007831570079330906,20.241567991884132,rf_shap_list_ir_1_subset_35,rf_shap_list_ir_1
